"","Longitude","Latitude","PM25","PM_class"
"85",-84.9789,32.4842,20.7,"2"
"86",-92.046196,32.509959,4.5,"1"
"87",-84.944635,32.521272,20.7,"2"
"88",-83.5978,32.6056,16.5222223333333,"2"
"89",-117.059075,32.631231,8.8,"1"
"90",-115.48307,32.67618,8.1,"1"
"91",-114.61444,32.690278,5.2458335,"1"
"92",-103.122917,32.726656,5.1333335,"1"
"93",-97.342334,32.759143,4.6,"1"
"94",-96.797686,32.774262,4.7,"1"
"95",-83.640996,32.777465,16.8,"2"
"96",-116.944222,32.789561,6.7,"1"
"97",-79.958694,32.790984,10.4,"1"
"98",-115.56306,32.79222,7.5,"1"
"99",-83.543493,32.805264,12.998611,"2"
"100",-96.860117,32.820061,1.8333335,"1"
"101",-117.123894,32.845467,6.2,"1"
"102",-111.752222,32.877583,6.56666666666667,"1"
"103",-112.03705,32.884761,9.63333333333333,"1"
"104",-82.806871,32.967359,13.6,"2"
"105",-115.53917,32.97833,10.4,"1"
"106",-80.06501,32.980254,9.5,"1"
"107",-117.08218,32.985442,6.3,"1"
"108",-91.950377,33.136862,7.7,"1"
"109",-87.484189,33.189931,15.4,"2"
"110",-92.669619,33.220274,6.8,"1"
"111",-85.803608,33.284928,19.8,"2"
"112",-117.09023,33.362593,11.5,"1"
"113",-111.96799,33.39623,6.3416665,"1"
"114",-112.07526,33.40314,4.8022725,"1"
"115",-111.86536,33.41018,4.8333335,"1"
"116",-111.93471,33.41123,5.3083335,"1"
"117",-111.503222,33.421194,6.1,"1"
"118",-112.11821,33.4265,6.0270835,"1"
"119",-82.0224,33.4339,12.6145835,"2"
"120",-94.07778,33.436111,4.5416665,"1"
"121",-112.14256,33.48378,4.845238,"1"
"122",-112.095767,33.503833,6.930303,"1"
"123",-112.06619,33.56031,4.9204545,"1"
"124",-112.19193,33.57453,5.3125,"1"
"125",-101.78698,33.58553,5.4291665,"1"
"126",-84.390717,33.610845,21.1,"2"
"127",-117.67593,33.63003,5.1,"1"
"128",-84.2905,33.6878,21.034375,"2"
"129",-116.21537,33.70853,9.1,"1"
"130",-116.1897,33.71969,9.6354165,"1"
"131",-115.820124,33.747236,6.9083335,"1"
"132",-90.734175,33.750838,8.9270835,"1"
"133",-84.3914,33.7784,21.9,"2"
"134",-118.17533,33.79236,3.1,"1"
"135",-84.435618,33.802241,22,"2"
"136",-117.93845,33.83062,6,"1"
"137",-116.54101,33.85275,9.3,"1"
